state_division,sr_no,from_city,to_city,zone,normal_price_mmk,discounted_rate_0_1_3kg_mmk,next_1kg_mmk,routing_eligible
AYA,1,Yangon,Hinthada,A,4500,3825,1700,true
AYA,2,Yangon,Maubin,A,4500,3825,1700,true
AYA,3,Yangon,Mawlamyinegyun,B,5000,4250,1700,true
AYA,4,Yangon,Myaungmya,A,4500,3825,1700,true
AYA,5,Yangon,Nyaungtone,A,4500,3825,1700,true
AYA,6,Yangon,Pathein,A,4500,3825,1700,true
AYA,7,Yangon,Pyapon,A,4500,3825,1700,true
AYA,8,Yangon,Wakema,A,4500,3825,1700,true
AYA,9,Yangon,Kyaiklat,A,4500,3825,1700,true
AYA,10,Yangon,Pantanaw,A,4500,3825,1700,true
AYA,11,Yangon,Zalun,A,4500,3825,1700,true
AYA,12,Yangon,Bogale,B,5000,4250,1700,true
AYA,13,Yangon,Labutta,B,5000,4250,1700,true
AYA,14,Yangon,Danubyu,A,4500,3825,1700,true
AYA,15,Yangon,Ngathaingchaung,A,4500,3825,1700,true
AYA,16,Yangon,Yegyi,A,4500,3825,1700,true
AYA,17,Yangon,Kyonpyaw,A,4500,3825,1700,true
AYA,18,Yangon,Ahtaung,A,4500,3825,1700,true
AYA,19,Yangon,Kyaunggon,A,4500,3825,1700,true
AYA,20,Yangon,Thabaung,B,5000,4250,1700,true
AYA,21,Yangon,Chaung Thar,B,5000,4250,1700,true
AYA,22,Yangon,Myanaung,B,5000,4250,1700,true
AYA,23,Yangon,Kyangin,B,5000,4250,1700,true
AYA,24,Yangon,Einme,A,4500,3825,1700,true
AYA,25,Yangon,Dedaye,A,4500,3825,1700,true
AYA,26,Yangon,Kangyidaunt,A,4500,3825,1700,true
AYA,27,Yangon,Ngapudaw,B,5000,4250,1700,true
AYA,28,Yangon,Ingapu,B,5000,4250,1700,true
AYA,29,Yangon,Lemyethna,B,5000,4250,1700,true
AYA,30,Yangon,Kyonemangay,B,5000,4250,1700,true
AYA,31,Yangon,Htugyi,B,5000,4250,1700,true
AYA,32,Yangon,Pyinywa,A,4500,3825,1700,true
AYA,33,Yangon,Darka,A,4500,3825,1700,true
AYA,34,Yangon,Ngwesaung,B,5000,4250,1700,true
AYA,35,Yangon,Atthoke,A,4500,3825,1700,true
AYA,36,Yangon,Sar Ma Lauk,A,4500,3825,1700,true
AYA,37,Yangon,KwinKauk,B,5000,4250,1700,true
BGO,38,Yangon,Bago,A,4500,3825,1700,true
BGO,39,Yangon,Nyaunglebin,A,4500,3825,1700,true
BGO,40,Yangon,Daik-U,A,4500,3825,1700,true
BGO,41,Yangon,Phyu,A,4500,3825,1700,true
BGO,42,Yangon,Pyay,A,4500,3825,1700,true
BGO,43,Yangon,Taungoo,A,4500,3825,1700,true
BGO,44,Yangon,Tharyarwaddy,A,4500,3825,1700,true
BGO,45,Yangon,Thonese,A,4500,3825,1700,true
BGO,46,Yangon,Paungde,A,4500,3825,1700,true
BGO,47,Yangon,Gyobingauk,A,4500,3825,1700,true
BGO,48,Yangon,Nattalin,A,4500,3825,1700,true
BGO,49,Yangon,Yae Ni,A,4500,3825,1700,true
BGO,50,Yangon,Letpadan,A,4500,3825,1700,true
BGO,51,Yangon,Thanatpin,B,5000,4250,1700,true
BGO,52,Yangon,Lower MinHla,A,4500,3825,1700,true
BGO,53,Yangon,Kaytumaddy,A,4500,3825,1700,true
BGO,54,Yangon,ShweDaung,A,4500,3825,1700,true
BGO,55,Yangon,Inntakaw,A,4500,3825,1700,true
BGO,56,Yangon,Waw,A,4500,3825,1700,true
BGO,57,Yangon,Kyauktaga,A,4500,3825,1700,true
BGO,58,Yangon,Yedashay,A,4500,3825,1700,true
BGO,59,Yangon,Zigon,A,4500,3825,1700,true
BGO,60,Yangon,Oktwin,A,4500,3825,1700,true
BGO,61,Yangon,OkeShitPin,B,5000,4250,1700,true
BGO,62,Yangon,Penwegon,A,4500,3825,1700,true
BGO,63,Yangon,HpaYarGyi,A,4500,3825,1700,true
BGO,64,Yangon,Monyo,B,5000,4250,1700,true
BGO,65,Yangon,Paungtale,B,5000,4250,1700,true
BGO,66,Yangon,Okpho,A,4500,3825,1700,true
BGO,67,Yangon,Thegon,B,5000,4250,1700,true
BGO,68,Yangon,Shwegyin,B,5000,4250,1700,true
BGO,69,Yangon,Pyuntasa,A,4500,3825,1700,true
BGO,70,Yangon,Innma,A,4500,3825,1700,true
BGO,71,Yangon,Kanyutkwin,A,4500,3825,1700,true
BGO,72,Yangon,Tharkaya,A,4500,3825,1700,true
BGO,73,Yangon,Myohla,A,4500,3825,1700,true
BGO,74,Yangon,Kawa,B,5000,4250,1700,true
BGO,75,Yangon,Sitkwin,A,4500,3825,1700,true
BGO,76,Yangon,Oaethaekone,A,4500,3825,1700,true
BGO,77,Yangon,Shwelaung,A,4500,3825,1700,true
BGO,78,Yangon,NyaungChayHtauk,B,5000,4250,1700,true
BGO,79,Yangon,Swar,A,4500,3825,1700,true
CHIN,80,Yangon,Hakha,G,8500,7225,2550,true
KACHIN,81,Yangon,Myitkyina,I,10000,8500,2550,true
KACHIN,82,Yangon,Mogaung,H,9500,8075,2550,true
KACHIN,83,Yangon,Mohnyin,H,9500,8075,2550,true
KACHIN,84,Yangon,Hpakan,I,10000,8500,2550,true
KACHIN,85,Yangon,Bhamaw,H,9500,8075,2550,true
KACHIN,86,Yangon,Waingmaw,H,9500,8075,2550,true
KACHIN,87,Yangon,Danai,I,10000,8500,2550,true
KACHIN,88,Yangon,Namti,H,9500,8075,2550,true
KACHIN,89,Yangon,Momauk,H,9500,8075,2550,true
KAYAR,90,Yangon,Loikaw,E,7000,5950,2125,true
KAYIN,91,Yangon,Hpa-An,A,4500,3825,1700,true
KAYIN,92,Yangon,Myawaddy,F,8000,6800,2125,true
KAYIN,93,Yangon,Kawkareik,E,7000,5950,2125,true
KAYIN,94,Yangon,Hlaingbwe,A,4500,3825,1700,true
KAYIN,95,Yangon,Myaingkalay,A,4500,3825,1700,true
MDY,96,Yangon,Bagan,C,5500,4675,1700,false
MDY,97,Yangon,Nyaung-U,C,5500,4675,1700,false
MDY,98,Yangon,Kyaukse,B,5000,4250,1700,false
MDY,99,Yangon,Mandalay,B,5000,4250,1700,false
MDY,100,Yangon,Meiktila,B,5000,4250,1700,false
MDY,101,Yangon,Wundwin,B,5000,4250,1700,false
MDY,102,Yangon,Mahlaing,B,5000,4250,1700,false
MDY,103,Yangon,Myingyan,C,5500,4675,1700,false
MDY,104,Yangon,Pyawbwe,B,5000,4250,1700,false
MDY,105,Yangon,Pyin Oo Lwin,B,5000,4250,1700,false
MDY,106,Yangon,Yamethin,B,5000,4250,1700,false
MDY,107,Yangon,Kyaukpadaung,C,5500,4675,1700,false
MDY,108,Yangon,Sintgaing,B,5000,4250,1700,false
MDY,109,Yangon,Kume,B,5000,4250,1700,false
MDY,110,Yangon,Thazi,C,5500,4675,1700,false
MDY,111,Yangon,Madaya,C,5500,4675,1700,false
MDY,112,Yangon,Myitthar,B,5000,4250,1700,false
MDY,113,Yangon,Paukkhaung,B,5000,4250,1700,false
MDY,114,Yangon,Ohn Chaw,B,5000,4250,1700,false
MDY,115,Yangon,Taungtha,C,5500,4675,1700,false
MDY,116,Yangon,Anesakhan,B,5000,4250,1700,false
MDY,117,Yangon,Amarapura,B,5000,4250,1700,false
MDY,118,Yangon,Myintnge,B,5000,4250,1700,false
MDY,119,Yangon,Natoegyi,C,5500,4675,1700,false
MDY,120,Yangon,Han Myint Mo,B,5000,4250,1700,false
MDY,121,Yangon,Tada-U,B,5000,4250,1700,false
MDY,122,Yangon,Zeepingyi,B,5000,4250,1700,false
MDY,123,Yangon,Patheingyi,B,5000,4250,1700,false
MDY,124,Yangon,Padaung,B,5000,4250,1700,false
MDY,125,Yangon,Palaik,B,5000,4250,1700,false
MDY,126,Yangon,Pyinyaung,C,5500,4675,1700,false
MDY,127,Yangon,Mogok,E,7000,5950,2125,false
MGY,128,Yangon,Aunglan,B,5000,4250,1700,true
MGY,129,Yangon,Chauk,B,5000,4250,1700,true
MGY,130,Yangon,Magway,B,5000,4250,1700,true
MGY,131,Yangon,Minbu,B,5000,4250,1700,true
MGY,132,Yangon,Pakokku,B,5000,4250,1700,true
MGY,133,Yangon,Yesagyo,B,5000,4250,1700,true
MGY,134,Yangon,Taungtwingyi,B,5000,4250,1700,true
MGY,135,Yangon,Thayed,B,5000,4250,1700,true
MGY,136,Yangon,Yenanchaung,B,5000,4250,1700,true
MGY,137,Yangon,Pwintbyu,B,5000,4250,1700,true
MGY,138,Yangon,NatMauk,B,5000,4250,1700,true
MGY,139,Yangon,Salin,B,5000,4250,1700,true
MGY,140,Yangon,SinHpyuKyun,B,5000,4250,1700,true
MGY,141,Yangon,Satthwar,B,5000,4250,1700,true
MGY,142,Yangon,Myothit,B,5000,4250,1700,true
MGY,143,Yangon,Kamma,B,5000,4250,1700,true
MGY,144,Yangon,Mindone,B,5000,4250,1700,true
MGY,145,Yangon,Ngape,B,5000,4250,1700,true
MGY,146,Yangon,Upper Minhla,B,5000,4250,1700,true
MGY,147,Yangon,Saku,B,5000,4250,1700,true
MGY,148,Yangon,Salay,B,5000,4250,1700,true
MGY,149,Yangon,Seik Phyu,B,5000,4250,1700,true
MGY,150,Yangon,Kamma (Pakokku),B,5000,4250,1700,true
MGY,151,Yangon,SinBaungWe,B,5000,4250,1700,true
MGY,152,Yangon,ThitYarGyauk,B,5000,4250,1700,true
MON,153,Yangon,Mawlamyine,A,4500,3825,1700,true
MON,154,Yangon,Bilin,A,4500,3825,1700,true
MON,155,Yangon,Mudon,B,5000,4250,1700,true
MON,156,Yangon,Thaton,A,4500,3825,1700,true
MON,157,Yangon,Ye,B,5000,4250,1700,true
MON,158,Yangon,Thanbyuzayat,B,5000,4250,1700,true
MON,159,Yangon,Kyaikto,A,4500,3825,1700,true
MON,160,Yangon,Paung,A,4500,3825,1700,true
MON,161,Yangon,Mottama,A,4500,3825,1700,true
MON,162,Yangon,Kyaikmaraw,B,5000,4250,1700,true
MON,163,Yangon,Kyaikkhami,B,5000,4250,1700,true
MON,164,Yangon,Kyaikkaw,A,4500,3825,1700,true
MON,165,Yangon,Chaungzone,B,5000,4250,1700,true
MON,166,Yangon,Thein Za Yat,B,5000,4250,1700,true
MON,167,Yangon,ZinKyaik,A,4500,3825,1700,true
NPW,168,Yangon,Naypyidaw,A,4500,3825,1700,false
NPW,169,Yangon,Tatkon,A,4500,3825,1700,false
NPW,170,Yangon,Tharwuthti,A,4500,3825,1700,false
NPW,171,Yangon,Zeyawaddy,A,4500,3825,1700,false
RKE,172,Yangon,Sittwe,E,7000,5950,2125,true
RKE,173,Yangon,Toungup,E,7000,5950,2125,true
RKE,174,Yangon,Thandwe,E,7000,5950,2125,true
RKE,175,Yangon,Kyaukpyu,E,7000,5950,2125,true
RKE,176,Yangon,Min Pyar,E,7000,5950,2125,true
RKE,177,Yangon,Ann,E,7000,5950,2125,true
RKE,178,Yangon,Kyauktaw,E,7000,5950,2125,true
RKE,179,Yangon,Mrauk-U,E,7000,5950,2125,true
RKE,180,Yangon,Ramree,E,7000,5950,2125,true
SGG,181,Yangon,Kalay,D,6000,5100,1700,true
SGG,182,Yangon,Monywa,C,5500,4675,1700,true
SGG,183,Yangon,Sagaing,B,5000,4250,1700,true
SGG,184,Yangon,Shwebo,C,5500,4675,1700,true
SGG,185,Yangon,Tamu,D,6000,5100,1700,true
SGG,186,Yangon,Katha,D,6000,5100,1700,true
SGG,187,Yangon,Kawlin,E,7000,5950,2125,true
SGG,188,Yangon,Tigyaing,D,6000,5100,1700,true
SGG,189,Yangon,Myinmu,C,5500,4675,1700,true
SGG,190,Yangon,Seikkhun,C,5500,4675,1700,true
SGG,191,Yangon,Indaw,E,7000,5950,2125,true
SHAN,192,Yangon,Aungpan,B,5000,4250,1700,true
SHAN,193,Yangon,Kalaw,B,5000,4250,1700,true
SHAN,194,Yangon,Lashio,E,7000,5950,2125,true
SHAN,195,Yangon,Kyaukme,D,6000,5100,1700,true
SHAN,196,Yangon,Hsipaw,D,6000,5100,1700,true
SHAN,197,Yangon,Muse,E,7000,5950,2125,true
SHAN,198,Yangon,Taunggyi,B,5000,4250,1700,true
SHAN,199,Yangon,Yatsauk,C,5500,4675,1700,true
SHAN,200,Yangon,Pinlaung,C,5500,4675,1700,true
SHAN,201,Yangon,Kengtung,J,10500,8925,2550,true
SHAN,202,Yangon,Tachileik,J,10500,8925,2550,true
SHAN,203,Yangon,Nyaungshwe,C,5500,4675,1700,true
SHAN,204,Yangon,Ayetharyar,B,5000,4250,1700,true
SHAN,205,Yangon,Hopong,C,5500,4675,1700,true
SHAN,206,Yangon,Pindaya,C,5500,4675,1700,true
SHAN,207,Yangon,Loilem,C,5500,4675,1700,true
SHAN,208,Yangon,HeHoe,B,5000,4250,1700,true
SHAN,209,Yangon,Ywangan,C,5500,4675,1700,true
SHAN,210,Yangon,Namhkam,D,6000,5100,1700,true
