merchant_code,merchant_name,business_type,contact_person,phone_primary,phone_secondary,email,address_line_1,address_line_2,township,city,region_state,default_pickup_address,default_pickup_time_window,payment_terms,contract_status,is_active,standard_allowance_kg,special_allowance_kg,extra_per_kg_mmk
ALN,Alnoor,Online Shop,Gon Gon,09448088835,09448088835,,အမှတ် (၁၅၂၆)၊ (၄၅)ရပ်ကွက်၊ ​ဇော်ဂျီလမ်း ၊ ၊မြောက်ဒဂုံ,အမှတ် (၁၅၂၆)၊ (၄၅)ရပ်ကွက်၊ ​ဇော်ဂျီလမ်း ၊ ၊မြောက်ဒဂုံ,North Dagon,Yangon,Yangon Region,"No. (1526), Ward (45), Zawgyi Road, North Dagon",01:00-05:00,COD,Inactive,false,3,5,500
APA,APAC,Online Shop,Ma Wai Zin Phyo,09888867040,09405073835,,အမှတ်(၇)၊စံပါယ် (၇)လမ်း၊ဘိုးလိန်းအောင်မင်္ဂလာရပ်ကွက်၊ယုဇနပလာဇာအနောက်ဘက် ၊  APAC Tower,အမှတ်(၇)၊စံပါယ် (၇)လမ်း၊ဘိုးလိန်းအောင်မင်္ဂလာရပ်ကွက်၊ယုဇနပလာဇာအနောက်ဘက် ၊  APAC Tower,Tamwe,Yangon,Yangon Region,"No. (7), San Pale (7) Street, Bo Lein Aung Mingalar Ward, west of Yuzana Plaza, APAC Tower",,COD,Active,true,3,5,500
APS,Aung Pyae Sone,Online Shop,Ei Zar,09752660008,09265792937,,အမှတ်(၇)၊ ဧရာဝဏ်လမ်းမကြီးဘေး၊ကွေ့မအိမ်ရာ၊ (၁၀)မြောက် ရပ်ကွက်,အမှတ်(၇)၊ ဧရာဝဏ်လမ်းမကြီးဘေး၊ကွေ့မအိမ်ရာ၊ (၁၀)မြောက် ရပ်ကွက်,Thaketa,Yangon,Yangon Region,"No. (7), beside Ayeyarwun Main Road, Kwe Ma Housing, 10th Ward",03:00-06:00,COD,Active,true,3,5,500
BBG,Baby Genius,Online Shop,Lin Lin Htet,09766482813,09796239153,,အမှတ်(၂၈၄/၉၇၉)၊ဗိုလ်မိုးကြိုးလမ်း၊ (၉)ရပ်ကွက်၊ အရှေ့ဒဂုံ,အမှတ်(၂၈၄/၉၇၉)၊ဗိုလ်မိုးကြိုးလမ်း၊ (၉)ရပ်ကွက်၊ အရှေ့ဒဂုံ,East Dagon,Yangon,Yangon Region,"No. (284/979), Bo Moe Kyo Road, Ward (9), East Dagon",04:00-06:00,COD,Active,true,3,5,500
BBK,Baby Kyaw,Online Shop,Hlaing Hlaing Oo,09796491867,09796491867,,အမှတ်(၁၁၅)က၊ ၉ရပ်ကွက်၊ယုဇနလမ်း၊ ရွှေပြည်သာ,အမှတ်(၁၁၅)က၊ ၉ရပ်ကွက်၊ယုဇနလမ်း၊ ရွှေပြည်သာ,Shwe Pyi Thar,Yangon,Yangon Region,"No. (115-Ka), Ward (9), Yuzana Road, Shwe Pyi Thar",03:00-06:00,COD,Active,true,3,5,500
BBR,Best Buy in Rangoon,Online Shop,Ei Htet Htet Min,09977730920,09977730920,,အမှတ်(၂)၊ မြေညီထပ်၊မဟာဘောဂလမ်း၊လှည်းတန်း,အမှတ်(၂)၊ မြေညီထပ်၊မဟာဘောဂလမ်း၊လှည်းတန်း,Kamayut,Yangon,Yangon Region,"No. (2), Ground Floor, Maha Bawga Road, Hledan",04:00-06:00,COD,Inactive,false,3,5,500
BBT,BabyTop,Online Shop,Dawn No No Ko,09699468766,09699468766,,အမှတ် (၂၃)၊လမ်း (၁၃၀) နဲ့သုံးမြှောင့်လမ်းထောင့် မဂ်လာတောင်ညွှန့်,အမှတ် (၂၃)၊လမ်း (၁၃၀) နဲ့သုံးမြှောင့်လမ်းထောင့် မဂ်လာတောင်ညွှန့်,Mingala Taung Nyunt,Yangon,,"No. (23), corner of 130th Street and Thone Myaung Road, Mingalar Taung Nyunt",,,,false,3,5,500
CUY,Curvy (Office),Online Shop,Su Wint Htet,09776527618,09776527618,,အမှတ် (၈၉၆) ၊အောင်သီရိ(၂)လမ်း ၊ (၂၈) ရပ်ကွက်,အမှတ် (၈၉၆) ၊အောင်သီရိ(၂)လမ်း ၊ (၂၈) ရပ်ကွက်,North Dagon,Yangon,Yangon Region,"No. (896), Aung Thiri (2) Street, Ward (28)",03:00-06:00,COD,Active,true,3,5,500
CUY(YK),Curvy (Yankin),Online Shop,Curvy Yankin,09-772233150,,,အမှတ်(၂၁၇)၊သစ္စာလမ်း၊ (၁၃)ရပ်ကွက်၊ရန်ကင်း,အမှတ်(၂၁၇)၊သစ္စာလမ်း၊ (၁၃)ရပ်ကွက်၊ရန်ကင်း,Yankin,Yangon,Yangon Region,"No. (217), Thitsar Road, Ward (13), Yankin",,,,,3,5,500
CUY(JS),Curvy (Junction Square),Online Shop,Curvy Junction Square,09-754614522,,,Junction Square Shopping Mall၊ပထမထပ်၊ ပြည်လမ်း နှင့် ကျွန်းတောလမ်း၊ ကမာရွတ်,Junction Square Shopping Mall၊ပထမထပ်၊ ပြည်လမ်း နှင့် ကျွန်းတောလမ်း၊ ကမာရွတ်,Kamayut,Yangon,Yangon Region,"Junction Square Shopping Mall, First Floor, Pyay Road and Kyun Taw Road, Kamayut",,,,,3,5,500
DDC,DDC BC,Online Shop,Ma Zinmar,0969793443,,,အမှတ် (၄၂၂) ၊ဗိုလ်မြတ်ထွန်းလမ်း၊ ဇီဇဝါလမ်းထောင့်၊ (၄၇)ရပ်ကွက်,အမှတ် (၄၂၂) ၊ဗိုလ်မြတ်ထွန်းလမ်း၊ ဇီဇဝါလမ်းထောင့်၊ (၄၇)ရပ်ကွက်,North Dagon,Yangon,Yangon Region,"No. (422), Bo Myat Tun Road, corner of Zizawar Road, Ward (47)",03:00-06:00,COD,Inactive,false,3,5,500
DSD,Daw Sanda,Online Shop,Daw Sanda,09776110406,,,အမှတ် (၄၃၉)/နေကြာ ၁လမ်း/၅၀ရပ်ကွက်/မြောက်ဒဂုံ/ရန်ကုန်။,အမှတ် (၄၃၉)/နေကြာ ၁လမ်း/၅၀ရပ်ကွက်/မြောက်ဒဂုံ/ရန်ကုန်။,North Dagon,Yangon,Yangon Region,"No. (439), Nay Kyar 1 Street, Ward (50), North Dagon, Yangon",,,,false,3,5,500
ETE,Ei Tone,Online Shop,Ei Tone,095409045,,,တိုက်အမှတ် (၃၁)၊ အခန်း၆အနောက်ကြို့ကုန်းရိပ်သာ ကြို့ကုန်းပန်းစျေးအကျော် ၂လမ်းမြောက်ပါ (လမ်းနာမည်မရှိ) လို့ အင်းစိန်ကညန သွားတဲ့လမ်းပေါ်,တိုက်အမှတ် (၃၁)၊ အခန်း၆အနောက်ကြို့ကုန်းရိပ်သာ ကြို့ကုန်းပန်းစျေးအကျော် ၂လမ်းမြောက်ပါ (လမ်းနာမည်မရှိ) လို့ အင်းစိန်ကညန သွားတဲ့လမ်းပေါ်,Insein,Yangon,Yangon Region,"Building No. (31), Room 6, West Kyo Kone Yeiktha, second street after Kyo Kone Flower Market, unnamed street on the road to Insein RTAD",,,,false,3,5,500
HAM,HAIM,Online Shop,Si Kyaw Si Thu,0424426681,,,အမှတ်(၆၆၅)၊ ဗိုလ်စောအောင်လမ်း၊ (၉) ရပ်ကွက်၊ အရှေ့ဒဂုံမြို့နယ်၊ရန်ကုန်တိုင်း,အမှတ်(၆၆၅)၊ ဗိုလ်စောအောင်လမ်း၊ (၉) ရပ်ကွက်၊ အရှေ့ဒဂုံမြို့နယ်၊ရန်ကုန်တိုင်း,East Dagon,Yangon,Yangon Region,"No. (665), Bo Saw Aung Road, Ward (9), East Dagon Township, Yangon Region",04:00-06:00,COD,Active,true,3,5,500
HMS,Hla Myittar Shin,Online Shop,Ko Tun,09264365636,,,အမှတ် (၅၄၂)၊ လေးထောင့်ကန်ရပ်ကွက်၊ကန်တော်လမ်း၊ သင်္ဃန်းကျွန်း,အမှတ် (၅၄၂)၊ လေးထောင့်ကန်ရပ်ကွက်၊ကန်တော်လမ်း၊ သင်္ဃန်းကျွန်း,Thingangyun,Yangon,Yangon Region,"No. (542), Lay Daunk Kan Ward, Kandaw Road, Thingangyun",03:00-06:00,COD,Active,true,3,5,500
JLS,July Sis,Online Shop,Thae Thae,09698793840,,,အမှတ်(၂၃၂)၊ စက္ကဝတ်(၃)လမ်း၊ ဈစျေး၊မြောက်ဉက္ကလာ,အမှတ်(၂၃၂)၊ စက္ကဝတ်(၃)လမ်း၊ ဈစျေး၊မြောက်ဉက္ကလာ,North Okkalapa,Yangon,Yangon Region,"No. (232), Sakkawat (3) Street, Zay Market, North Okkalapa",,COD,Active,true,3,5,500
KKK,Ko Kyaw Clothing,Online Shop,Ko Kyaw Clothing,09988198263,,,"အမှတ် (၂၃), လွတ်လပ်ရေးလမ်းသွယ်(၁), (ဂ)ရပ်ကွက်, သင်္ဃန်းကျွန်း","အမှတ် (၂၃), လွတ်လပ်ရေးလမ်းသွယ်(၁), (ဂ)ရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,Yangon,Yangon Region,"No. (23), Lutlatyay Lane (1), Ward (Ga), Thingangyun",03:00-06:00,COD,Active,true,3,5,500
