id,email,business_name,is_active,created_at,merchant_code,merchant_name,contact_person,phone,business_type,address,status,registration_date,updated_at,name,township,city,state
00712811-2165-42a7-96e6-348d0d3c2cce,,TZ-5 Fashion Shop,true,2026-05-19 21:31:10.378093+00,TZ,TZ-5 Fashion Shop,Khaing Thazin Han,09-981381635,Online Shop,"No. (266), Metta Road, Ward (10), South Okkalapa",,2026-05-07,2026-05-01 14:20:23.772166+00,TZ-5 Fashion Shop,South Okkalapa,Yangon,Yangon Region
01c024cc-1fde-4e3d-b2ff-89bc41f5d267,,Unique/Diva,true,2026-05-19 21:31:10.378093+00,UQD,Unique/Diva,Ma Wai Zin Phyo,09888867040,Online Shop,"No. (7), San Pale (7) Street, Bo Lein Aung Mingalar Ward, west of Yuzana Plaza, APAC Tower",active,2026-05-08,2026-07-14 21:02:16.318312+00,Unique/Diva,Tamwe,Yangon,Yangon Region
03eca8a9-2d49-40b1-929d-1f1dc93a0274,,Ko Kyaw Clothing,true,2026-05-19 21:31:10.378093+00,,Ko Kyaw Clothing,Ko Kyaw Clothing,09988198263,Online Shop,"No. (23), Lutlatyay Lane (1), Ward (Ga), Thingangyun",active,2026-05-01,2026-07-14 21:02:16.318312+00,Ko Kyaw Clothing,Thingangyun,Yangon,Yangon Region
0576e4bf-bbfb-4090-ad3e-4d50e307f225,,Nfinity,true,2026-05-19 21:31:10.378093+00,NFT,Nfinity,Kyal Sin,09794908400,Online Shop,"Block 14(B), Ayar Chan Thar Condo, Dagon Seikkan Township, Ayeyarwun Main Road",active,2026-05-01,2026-07-14 21:02:16.318312+00,Nfinity,South Dagon,Yangon,Yangon Region
072f6cf3-f982-4b1d-8965-4ff49d218ff5,,DDC BC,true,2026-05-19 21:31:10.378093+00,DDC,DDC BC,Ma Zinmar,0969793443,Online Shop,"No. (422), Bo Myat Tun Road, corner of Zizawar Road, Ward (47)",active,2026-05-01,2026-07-14 21:02:16.318312+00,DDC BC,North Dagon,Yangon,Yangon Region
0f542434-fb47-49e0-9b64-c63beda70f4d,,PREMIER,true,2026-05-19 21:31:10.378093+00,PRE,PREMIER,Than Than Soe,09260644879,Online Shop,"No. (299-A), Mya Marlar Road, Thaketa Industrial Zone",active,2026-05-01,2026-07-14 21:02:16.318312+00,PREMIER,Thaketa,Yangon,Yangon Region
0faed4b0-0540-4c20-a6f2-1b5e297fa5e8,,NDN,true,2026-05-19 21:31:10.378093+00,NDN,NDN,Shan Noe,09890334723,Online Shop,"No. (1000), Anawrahta Road, Ward (38)",active,2026-05-01,2026-07-14 21:02:16.318312+00,NDN,North Dagon,Yangon,Yangon Region
1069e921-db79-43d0-9a77-b8ce84a443af,,,true,2026-07-14 21:02:16.318312+00,PTB,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,ပီတိစာပေ,,,Yangon
1081c4eb-0bad-437e-82dd-429199409abd,,Shaw Mahar,true,2026-05-19 21:31:10.378093+00,,Shaw Mahar,Pan Ei Wai,09777759111,Online Shop,"No. (1235), corner of Min Road and Min Road (2), Ward (55), South Dagon",active,2026-05-01,2026-07-14 21:02:16.318312+00,Shaw Mahar,South Dagon,Yangon,Yangon Region
12a4e79a-469a-45e0-8a80-c44983b0f930,,,true,2026-07-14 21:02:16.318312+00,SMH,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,ရွှေမဟာ,,,Yangon
14a45a7f-86d6-41ec-bcfe-136d386d8a80,,Saung Thazin,true,2026-05-19 21:31:10.378093+00,,Saung Thazin,Hnin Wai Zin,09799951012,Online Shop,"No. (1074), Htan Chauk Pin, Thiri Mingalar Circular Road, in front of Kyan Taing Aung Pagoda, Phaya Lay Road, Shwe Pyi Thar",,2026-05-04,2026-07-14 21:02:16.318312+00,Saung Thazin,Shwe Pyi Thar,Yangon,Yangon Region
17b785a2-c1ea-4519-b4e6-bc8f882b6e38,,,true,2026-07-14 21:02:16.318312+00,HMS,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,လှမေတ္တာရှင်,,,Yangon
268d2572-3f4b-4fd6-a177-a8259024af4b,,,true,2026-07-14 21:02:16.318312+00,STZ,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,ဆောင်းသဇင်,,,Yangon
