Region,Town / Township,Quarter / Village Tract,Postal Code
Naypyitaw Union Territory,Za Bu Thi Ri Township,Zay Ya Theik Di Quarter,1501001
Naypyitaw Union Territory,Za Bu Thi Ri Township,Pyin Nyar Theik Di Quarter,1501002
Naypyitaw Union Territory,Za Bu Thi Ri Township,Min Ga Lar Theik Di Quarter,1501003
Naypyitaw Union Territory,Za Bu Thi Ri Township,Baw Ga Theik Di Quarter,1501004
Naypyitaw Union Territory,Za Bu Thi Ri Township,Tha Pyay Kone Quarter,1501005
Naypyitaw Union Territory,Za Bu Thi Ri Township,Wun Na Theik Di Quarter,1501006
Naypyitaw Union Territory,Za Bu Thi Ri Township,Thu Kha Theik Di Quarter,1501007
Naypyitaw Union Territory,Za Bu Thi Ri Township,Nyar Na Theik Di Quarter,1501008
Naypyitaw Union Territory,Za Bu Thi Ri Township,Ba La Theik Di Quarter,1501009
Naypyitaw Union Territory,Za Bu Thi Ri Township,Dha Na Theik Di Quarter,1501010
Naypyitaw Union Territory,Za Bu Thi Ri Township,Shwe Kyar Pin Quarter,1501011
Naypyitaw Union Territory,Za Bu Thi Ri Township,Aung Zabu Quarter,1501012
Naypyitaw Union Territory,Za Bu Thi Ri Township,Te Gyi Kone Village Tract,1501200
Naypyitaw Union Territory,Za Bu Thi Ri Township,Ah Hlyin Lo Village Tract,1501201
Naypyitaw Union Territory,Za Bu Thi Ri Township,Pyant Ka Pyay Village Tract,1501202
Naypyitaw Union Territory,Pyinmana Township,Ywar Kauk Quarter,1502001
Naypyitaw Union Territory,Pyinmana Township,Yan Aung (1) Quarter,1502002
Naypyitaw Union Territory,Pyinmana Township,Yan Aung (2) Quarter,1502003
Naypyitaw Union Territory,Pyinmana Township,Shwe Chi Quarter,1502004
Naypyitaw Union Territory,Pyinmana Township,Min Ga Lar Quarter,1502005
Naypyitaw Union Territory,Pyinmana Township,Baw Ga Wa Di Quarter,1502006
Naypyitaw Union Territory,Pyinmana Township,U Yin Su Quarter,1502007
Naypyitaw Union Territory,Pyinmana Township,Kin Pun Tan Village Tract,1502200
Naypyitaw Union Territory,Pyinmana Township,Kan U Village Tract,1502201
Naypyitaw Union Territory,Pyinmana Township,Ku Toet Seik Village Tract,1502202
Naypyitaw Union Territory,Pyinmana Township,Kyee Inn Village Tract,1502203
Naypyitaw Union Territory,Pyinmana Township,Nga Kaung Kan Village Tract,1502204
Naypyitaw Union Territory,Pyinmana Township,Kyun Oo Village Tract,1502205
Naypyitaw Union Territory,Pyinmana Township,Sin Thay Village Tract,1502206
Naypyitaw Union Territory,Pyinmana Township,Zee Hpyu Pin Village Tract,1502207
Naypyitaw Union Territory,Pyinmana Township,Nyaung Pin Thar Village Tract,1502208
Naypyitaw Union Territory,Pyinmana Township,Taung Thar Village Tract,1502209
Naypyitaw Union Territory,Pyinmana Township,Hnan Taw Village Tract,1502210
Naypyitaw Union Territory,Pyinmana Township,Nat Tha Ye Village Tract,1502211
Naypyitaw Union Territory,Pyinmana Township,Pyu Twin Village Tract,1502212
Naypyitaw Union Territory,Pyinmana Township,Pyin Ma Nar Haung Village Tract,1502213
Naypyitaw Union Territory,Pyinmana Township,Yauk Thwar Inn Village Tract,1502214
Naypyitaw Union Territory,Pyinmana Township,Ywar Thar Village Tract,1502215
Naypyitaw Union Territory,Pyinmana Township,Ywar Thit Village Tract,1502216
Naypyitaw Union Territory,Pyinmana Township,Le Lu Aing Village Tract,1502217
Naypyitaw Union Territory,Pyinmana Township,Thit Lay Lone Village Tract,1502218
Naypyitaw Union Territory,Pyinmana Township,Tha Nat Pin Seik Village Tract,1502219
Naypyitaw Union Territory,Pyinmana Township,Mei Za Li Kone Village Tract,1502220
Naypyitaw Union Territory,Pyinmana Township,U Yin Su Village Tract,1502221
Naypyitaw Union Territory,Pyinmana Township,Koe Tit Village Tract,1502222
Naypyitaw Union Territory,Pyinmana Township,Bant Bar Village Tract,1502223
Naypyitaw Union Territory,Pyinmana Township,Thit Tun Village Tract,1502224
Naypyitaw Union Territory,Pyinmana Township,Pyay Taung Koe Village Tract,1502225
Naypyitaw Union Territory,Pyinmana Township,Boet Ma Village Tract,1502226
Naypyitaw Union Territory,Pyinmana Township,Me Pauk Village Tract,1502227
Naypyitaw Union Territory,Pyinmana Township,Ah Lel Chaung Village Tract,1502228
Naypyitaw Union Territory,Pyinmana Township,Tha Kyar Set Village Tract,1502229
Naypyitaw Union Territory,Pyinmana Township,Thar Yar Kone Village Tract,1502230
Naypyitaw Union Territory,Tatkon Township,Ba Yint Naung Quarter,1503001
Naypyitaw Union Territory,Tatkon Township,Aung Zay Ya Quarter,1503002
Naypyitaw Union Territory,Tatkon Township,Mya Wa Di Quarter,1503003
Naypyitaw Union Territory,Tatkon Township,Bo Min Yaung Quarter,1503004
Naypyitaw Union Territory,Tatkon Township,Sa Yar San Quarter,1503005
Naypyitaw Union Territory,Tatkon Township,Ah Naw Ra Htar Quarter,1503006
Naypyitaw Union Territory,Tatkon Township,Kin Thar Village Tract,1503200
Naypyitaw Union Territory,Tatkon Township,Kha Yan Sat Kone Village Tract,1503201
Naypyitaw Union Territory,Tatkon Township,Htone Hpo Village Tract,1503202
Naypyitaw Union Territory,Tatkon Township,Byaing Inn Village Tract,1503203
Naypyitaw Union Territory,Tatkon Township,Shauk Kone Village Tract,1503204
Naypyitaw Union Territory,Tatkon Township,Kyar Thay Aing Village Tract,1503205
Naypyitaw Union Territory,Tatkon Township,Kan Gyi Village Tract,1503206
Naypyitaw Union Territory,Tatkon Township,Kyauk Sa Yit Kone Village Tract,1503207
Naypyitaw Union Territory,Tatkon Township,Te Myint Village Tract,1503208
Naypyitaw Union Territory,Tatkon Township,Nyaung Kaing Village Tract,1503209
Naypyitaw Union Territory,Tatkon Township,Ma Gyi Kone Village Tract,1503210
Naypyitaw Union Territory,Tatkon Township,Aung Myay Yeik Thar Village Tract,1503211
Naypyitaw Union Territory,Tatkon Township,Kyet Thun Khin Village Tract,1503212
Naypyitaw Union Territory,Tatkon Township,Nyaung Lunt Village Tract,1503213
Naypyitaw Union Territory,Tatkon Township,Tha Pyay Kone Village Tract,1503214
Naypyitaw Union Territory,Tatkon Township,Ma Gyi Pin Village Tract,1503215
