merchant_code,merchant_name,contact_person,phone,township,address
ACA,ကြယ်ဝင်းယန်,Daw Maw Maw,09661762535,East Dagon,"No. 900, Anawrahta Road, Ward 9"
ALG,Pcak It Best,Ei Thet Mon,09799617032,Tamwe,"No. 11, Ground Floor, 140th Street, Ma U Kone Ward"
APA,Su Su Fashion World 2,Wai Zin Phyo,09444450771,Tamwe,"Sanpya (7) Street, behind Yuzana Plaza, APAC Tower"
APS,DDC Beauty Channel,Ei Zar Htwe,09969793443,Thaketa,"No. 7, Kway Ma Lone Chin Housing Estate, beside Ayeyarwun Main Road"
APS-WH,အောင်ပြည့်စုံ အထည်လက်လီလက်ကား,May Thazin Ko,09798154798,North Okkalapa,"No. 33, Thumitta (2) Street, Ward 1"
ATM,A.T.M GYM,,09799248363,Insein,No. 149, Bawdi Road
AUR,Aurea Brand,,09444450771,Tamwe,Sanpya (7) Street, behind Yuzana Plaza
BBG,Baby Genius,Lin Lin Htet,09766482813,East Dagon,"No. (284/979), Bo Moe Kyo Road, Ward (9)"
BBK,Baby Kyaw,Hlaing Hlaing Oo,09796491867,Shwe Pyi Thar,"No. (115-Ka), Ward (9), Yuzana Road"
BBR,Best Buy in Rangoon,Ei Htet Htet Min,09977730920,Kamayut,"No. (2), Ground Floor, Maha Bawga Road, Hledan"
BBT,BabyTop,Dawn No No Ko,09699468766,Mingala Taung Nyunt,"No. (23), corner of 130th Street and Thone Myaung Road"
BBW,Baby World,Htet Hter Hlaing,09988837505,Shwe Pauk Kan,"L/48, Latwethuddar Road, Ward 6"
BCA,BC လူသုံးကုန်,,09968348442,Kyeemyindaing,(သဲကွင်းမှတ်တိုင်)၊ ကြည့်မြင်တိုင်မြို့နယ်
CHI,Chi 21,Ei Thu Thu Win,09798933259,Thingangyun,"Room 402, Building 8, Yadanarpon Road, Thumingalar Housing Estate"
CUY(JS),Curvy(Junction Square),Su Su,095002055,Kamayut,"Junction Square Shopping Mall, 1st Floor, Pyay Road & Kyaung Thar Road"
CUY(YK),Curvy(Yankin),Su Su,09754614522,Yankin,"No. 217, Thitsar Road, Ward 13"
