township_code,township_name_en,township_name_mm,state_region_code,state_region_name_en,state_region_name_mm,township_name_for_current_app
MMR017024,Bogale,ဘိုကလေး,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Bogale
MMR017022,Danubyu,ဓနုဖြူ,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Danubyu
MMR017026,Dedaye,ဒေးဒရဲ,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Dedaye
MMR017015,Einme,အိမ်မဲ,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Einme
MMR017008,Hinthada,ဟင်္သာတ,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Hinthada
MMR017013,Ingapu,အင်္ဂပူ,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Ingapu
MMR017002,Kangyidaunt,ကန်ကြီးထောင့်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Kangyidaunt
MMR017025,Kyaiklat,ကျိုက်လတ်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Kyaiklat
MMR017012,Kyangin,ကြံခင်း,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Kyangin
MMR017007,Kyaunggon,ကျောင်းကုန်း,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Kyaunggon
MMR017005,Kyonpyaw,ကျုံပျော်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Kyonpyaw
MMR017016,Labutta,လပွတ္တာ,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Labutta
MMR017010,Lemyethna,လေးမျက်နှာ,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Lemyethna
MMR017019,Maubin,မအူပင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Maubin
MMR017018,Mawlamyinegyun,မော်လမြိုင်ကျွန်း,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Mawlamyinegyun
MMR017011,Myanaung,မြန်အောင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Myanaung
MMR017014,Myaungmya,မြောင်းမြ,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Myaungmya
MMR017004,Ngapudaw,ငပုတော,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Ngapudaw
MMR017021,Nyaungdon,ညောင်တုန်း,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Nyaungdon
MMR017020,Pantanaw,ပန်းတနော်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Pantanaw
MMR017001,Pathein,ပုသိမ်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Pathein
MMR017023,Pyapon,ဖျာပုံ,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Pyapon
MMR017003,Thabaung,သာပေါင်း,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Thabaung
MMR017017,Wakema,ဝါးခယ်မ,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Wakema
MMR017006,Yegyi,ရေကြည်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Yegyi
MMR017009,Zalun,ဇလွန်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,Zalun
MMR007001,Bago,ပဲခူး,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Bago
MMR007007,Daik-U,ဒိုက်ဦး,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Daik-U
MMR007014,Htantabin,ထန်းတပင်,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Htantabin
MMR007003,Kawa,ကဝ,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Kawa
MMR007011,Kyaukkyi,ကျောက်ကြီး,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Kyaukkyi
MMR007006,Kyauktaga,ကျောက်တံခါး,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Kyauktaga
MMR007005,Nyaunglebin,ညောင်လေးပင်,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Nyaunglebin
MMR007013,Oktwin,အုတ်တွင်း,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Oktwin
MMR007012,Phyu,ဖြူး,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Phyu
MMR007008,Shwegyin,ရွှေကျင်,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Shwegyin
MMR007009,Taungoo,တောင်ငူ,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Taungoo
MMR007002,Thanatpin,သနပ်ပင်,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Thanatpin
MMR007004,Waw,ဝေါ,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Waw
MMR007010,Yedashe,ရေတာရှည်,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Yedashe
MMR008014,Gyobingauk,ကြို့ပင်ကောက်,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Gyobingauk
MMR008008,Letpadan,လက်ပံတန်း,MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,Letpadan
